Locality,Zone_Type,Footfall_Score,Demo_Score,Competitor_Gap,Rent_Index,POI_Score,Competitor_Count,Daily_Footfall,Avg_Spend_AED,Conversion_Rate,Monthly_Revenue_AED,Store_Size_Sqft,Lease_Cost_AED,ROI_Score,Peak_Hours,Weekend_Multiplier,Parking_Available,Metro_Proximity_Km,Recommended
Mirdif City Ctr,Business District,77,77,62,71,77,2,5154,334.2,0.0537,2774894.0,2000,355000,92.8,2PM-6PM,1.37,True,0.91,1
Al Qusais,Mall,53,55,75,35,54,1,3856,337.3,0.0639,2493305.0,800,70000,426.42,6PM-10PM,1.74,True,0.16,0
Jumeirah,High Street,61,78,68,79,74,1,5291,278.9,0.0482,2133804.0,1000,197500,128.65,10AM-2PM,1.98,False,4.23,0
Silicon Oasis,High Street,45,60,86,38,48,1,3612,361.9,0.0705,2764692.0,2000,190000,173.61,10AM-2PM,1.42,True,0.72,0
Motor City,Mixed Use,50,58,83,35,64,0,4105,404.6,0.0709,3532698.0,2000,175000,241.24,2PM-6PM,1.91,True,0.63,0
Silicon Oasis,Mall,54,62,88,31,53,0,3837,320.6,0.0679,2505800.0,800,62000,483.99,2PM-6PM,1.31,True,2.48,0
Karama,High Street,57,57,72,46,57,0,4608,356.4,0.0713,3512861.0,800,92000,457.2,10AM-2PM,1.85,False,0.13,0
Al Barsha,Mall,68,65,79,54,72,0,5183,292.0,0.0667,3028385.0,1500,202500,178.46,10AM-2PM,1.4,True,3.16,0
DIFC,High Street,66,90,70,87,81,0,5518,352.2,0.0584,3404906.0,1500,326250,124.24,2PM-6PM,1.39,True,3.45,0
Bur Dubai,Mall,71,71,46,51,69,3,5485,409.9,0.0494,3331983.0,1200,153000,260.33,10AM-2PM,1.89,True,1.07,0
Deira,Business District,70,70,39,57,67,3,5208,429.0,0.0485,3250808.0,1000,142500,272.75,10AM-2PM,1.39,True,4.05,0
Business Bay,Mall,75,87,58,89,74,1,6052,356.1,0.0666,4305924.0,1500,333750,153.82,2PM-6PM,1.74,True,1.74,1
Jumeirah,High Street,65,73,77,76,78,1,4824,281.1,0.0518,2107265.0,1200,228000,109.91,10AM-2PM,1.63,True,2.9,0
Downtown Dubai,High Street,96,96,33,98,96,3,7726,520.9,0.0358,4322284.0,2000,490000,104.85,6PM-10PM,1.81,True,4.48,0
Silicon Oasis,Business District,54,63,82,38,63,1,3856,309.9,0.0595,2133029.0,1000,95000,268.44,2PM-6PM,1.28,True,4.46,0
JBR,Mixed Use,88,80,49,84,87,3,6675,369.1,0.0367,2712580.0,1000,210000,154.0,10AM-2PM,1.69,True,0.12,0
Dubai Marina,Mall,87,92,54,85,86,1,6573,399.1,0.0538,4233981.0,800,170000,297.87,2PM-6PM,1.43,True,0.23,1
Dubai Marina,High Street,85,77,52,79,91,2,7059,338.7,0.0517,3708260.0,1200,237000,186.76,10AM-2PM,1.98,False,0.28,1
Al Barsha,High Street,67,63,61,68,66,2,5518,311.3,0.0422,2174676.0,2000,340000,75.75,10AM-2PM,1.79,True,2.79,0
Mirdif City Ctr,Mall,86,75,57,61,80,3,6578,323.2,0.0516,3291063.0,2000,305000,128.48,2PM-6PM,1.96,False,1.25,1
Deira,Mall,78,81,47,59,70,0,6563,348.5,0.0554,3801336.0,1500,221250,205.17,10AM-2PM,1.64,False,1.8,0
Dubai Mall,Mall,100,84,32,90,94,4,7944,322.1,0.0342,2625290.0,1000,225000,139.02,2PM-6PM,1.75,True,1.25,0
Mirdif City Ctr,Mixed Use,81,71,64,66,86,2,6065,374.6,0.0536,3653294.0,800,132000,331.12,2PM-6PM,1.4,True,3.92,1
Business Bay,Mixed Use,85,91,52,80,83,2,5672,390.8,0.031,2061454.0,2000,400000,60.84,10AM-2PM,1.24,False,3.83,1
Jumeirah,Mall,66,79,72,72,70,2,4776,468.7,0.0495,3324189.0,800,144000,276.02,10AM-2PM,1.6,True,2.52,0
Business Bay,Mixed Use,85,89,66,89,82,1,6830,354.5,0.0454,3297722.0,800,178000,221.32,2PM-6PM,1.32,True,1.13,1
Al Barsha,High Street,62,64,61,58,69,1,5388,419.7,0.0567,3846545.0,2000,290000,158.17,2PM-6PM,1.25,True,0.62,0
Jumeirah,Mall,59,84,77,67,67,2,4697,296.4,0.0375,1566215.0,1000,167500,111.21,10AM-2PM,1.23,False,2.42,0
Bur Dubai,Business District,73,69,47,51,67,3,5391,301.8,0.0694,3387422.0,1000,127500,317.82,2PM-6PM,1.56,True,1.32,0
Al Qusais,Mall,59,48,85,34,50,0,4334,238.9,0.0606,1882344.0,800,68000,331.18,10AM-2PM,1.75,True,4.11,0
Karama,High Street,61,63,71,45,53,1,5579,341.8,0.0568,3249361.0,1200,135000,287.83,6PM-10PM,1.51,False,2.6,0
Dubai Mall,Mixed Use,94,77,25,94,97,4,7671,357.2,0.0627,5154093.0,2000,470000,130.59,6PM-10PM,1.4,True,0.67,0
DIFC,High Street,67,91,71,92,84,2,5997,327.2,0.0604,3555540.0,1500,345000,122.67,2PM-6PM,1.83,True,2.21,0
Mirdif City Ctr,Mall,77,78,66,60,85,0,5280,405.9,0.048,3086139.0,1000,150000,245.89,2PM-6PM,1.56,False,1.41,1
Deira,Mall,69,69,46,54,61,3,4867,329.9,0.0605,2914206.0,1500,202500,171.69,6PM-10PM,1.9,True,4.38,0
Karama,Mall,57,57,64,44,54,1,3961,292.4,0.0788,2737976.0,800,88000,372.36,6PM-10PM,1.7,True,3.94,0
Motor City,High Street,60,65,83,40,65,1,5690,285.2,0.0674,3281277.0,1200,120000,327.13,10AM-2PM,1.89,True,1.85,0
Jumeirah,High Street,61,76,74,75,76,0,4442,345.3,0.0552,2540010.0,800,150000,202.2,6PM-10PM,1.72,True,2.67,0
Downtown Dubai,Mall,97,94,29,91,89,2,8223,272.2,0.0678,4552703.0,2000,455000,119.07,6PM-10PM,1.59,False,0.49,0
Silicon Oasis,Mixed Use,57,60,80,36,57,1,4106,313.7,0.0582,2248939.0,1200,108000,248.88,2PM-6PM,1.65,True,1.33,0
Al Qusais,Mall,53,58,79,46,59,0,4246,372.3,0.0549,2603554.0,1200,138000,225.4,2PM-6PM,1.56,True,2.52,0
JBR,Mixed Use,90,90,52,84,84,1,7920,383.8,0.0309,2817798.0,800,168000,200.27,2PM-6PM,1.3,False,4.23,1
Al Qusais,Mall,61,54,80,40,58,1,4658,361.5,0.0686,3465398.0,1500,150000,276.23,2PM-6PM,1.51,False,2.03,0
Silicon Oasis,Business District,48,61,89,23,65,0,4338,217.1,0.0736,2079450.0,2000,115000,215.99,6PM-10PM,1.63,True,1.56,0
DIFC,Mall,67,92,72,96,89,0,5116,358.5,0.0656,3609481.0,800,192000,224.59,2PM-6PM,1.77,True,3.42,0
Downtown Dubai,Mixed Use,85,98,32,89,91,4,7286,416.2,0.0635,5776785.0,1500,333750,206.7,6PM-10PM,1.48,True,4.1,0
Downtown Dubai,Mall,87,84,39,84,92,4,7281,320.8,0.0673,4715869.0,1000,210000,268.48,6PM-10PM,1.79,False,4.17,0
Mirdif City Ctr,Mall,83,73,57,62,79,1,7115,310.0,0.0466,3083499.0,2000,310000,118.36,10AM-2PM,1.47,False,0.12,1
Jumeirah,High Street,63,75,64,56,75,2,5275,386.5,0.0439,2685083.0,1200,168000,190.79,2PM-6PM,1.73,True,4.33,0
Dubai Mall,Mall,91,95,30,88,98,1,6721,292.4,0.0354,2087064.0,1200,264000,93.87,2PM-6PM,1.35,True,2.18,0
Al Barsha,Mall,61,75,66,69,60,1,5675,507.8,0.0596,5152596.0,1200,207000,297.7,2PM-6PM,1.92,True,3.62,0
Mirdif City Ctr,Mixed Use,76,77,56,64,82,2,5715,299.3,0.0578,2966006.0,1200,192000,184.38,6PM-10PM,1.78,False,4.45,1
Al Barsha,Mall,61,67,66,56,71,1,5563,361.6,0.0694,4188111.0,1200,168000,298.15,2PM-6PM,1.49,True,3.75,0
Business Bay,High Street,85,94,47,76,77,3,6784,413.5,0.0507,4266685.0,1200,228000,223.56,10AM-2PM,1.63,True,1.23,0
Downtown Dubai,Mixed Use,84,100,40,97,94,2,6715,438.7,0.0656,5797473.0,1000,242500,285.89,10AM-2PM,1.21,True,4.06,0
Downtown Dubai,Mall,86,87,39,91,100,2,7008,420.8,0.0657,5812413.0,1000,227500,305.59,6PM-10PM,1.35,True,3.49,0
Karama,Mall,54,56,74,40,62,1,5360,219.6,0.0592,2090451.0,800,80000,312.57,6PM-10PM,1.41,True,0.33,0
Silicon Oasis,Mixed Use,55,57,96,28,51,2,4047,424.9,0.0594,3064274.0,1200,84000,436.75,10AM-2PM,1.2,False,0.12,0
Al Qusais,Business District,54,53,77,41,55,1,4510,242.3,0.0692,2268597.0,800,82000,330.99,6PM-10PM,1.75,True,3.05,0
